%
%  Arff file example
%
@relation 'activity-recognition-data'
@attribute 'average_x' numeric
@attribute 'average_y' numeric
@attribute 'average_z' numeric 
@attribute 'standardDeviation_x' numeric
@attribute 'standardDeviation_y' numeric
@attribute 'standardDeviation_z' numeric 
@attribute 'averageAbsoluteDifference_x' numeric
@attribute 'averageAbsoluteDifference_y' numeric
@attribute 'averageAbsoluteDifference_z' numeric 
@attribute 'binnedDistribution1' numeric
@attribute 'binnedDistribution2' numeric
@attribute 'binnedDistribution3' numeric
@attribute 'binnedDistribution4' numeric
@attribute 'binnedDistribution5' numeric
@attribute 'binnedDistribution6' numeric
@attribute 'binnedDistribution7' numeric
@attribute 'binnedDistribution8' numeric
@attribute 'binnedDistribution9' numeric
@attribute 'binnedDistribution10' numeric
@attribute 'binnedDistribution11' numeric
@attribute 'binnedDistribution12' numeric
@attribute 'binnedDistribution13' numeric
@attribute 'binnedDistribution14' numeric
@attribute 'binnedDistribution15' numeric
@attribute 'binnedDistribution16' numeric
@attribute 'binnedDistribution17' numeric
@attribute 'binnedDistribution18' numeric
@attribute 'binnedDistribution19' numeric
@attribute 'binnedDistribution20' numeric
@attribute 'binnedDistribution21' numeric
@attribute 'binnedDistribution22' numeric
@attribute 'binnedDistribution23' numeric
@attribute 'binnedDistribution24' numeric
@attribute 'binnedDistribution25' numeric
@attribute 'binnedDistribution26' numeric
@attribute 'binnedDistribution27' numeric
@attribute 'binnedDistribution28' numeric
@attribute 'binnedDistribution29' numeric
@attribute 'binnedDistribution30' numeric
@attribute 'class' {'run','walk','stand','sit','down','up'}
@data
1.5004948,-9.81297,-0.42923215,0.061304748,0.046251457,0.06011891,0.04924405,0.036117736,0.048929777,1.0,0.0,8.0,20.0,40.0,46.0,45.0,25.0,12.0,3.0,1.0,1.0,3.0,22.0,44.0,0.0,67.0,52.0,9.0,1.0,3.0,12.0,20.0,59.0,38.0,0.0,41.0,17.0,9.0,1.0,'stand'
1.4798088,-9.827147,-0.26144662,0.067262694,0.048284896,0.108851686,0.052465554,0.039718628,0.088403605,1.0,3.0,3.0,41.0,44.0,48.0,55.0,3.0,0.0,1.0,2.0,6.0,38.0,0.0,64.0,49.0,0.0,33.0,5.0,0.0,6.0,18.0,17.0,52.0,45.0,22.0,32.0,3.0,8.0,1.0,'stand'
1.5296082,-9.815076,-0.33710334,0.05739824,0.04387135,0.05266374,0.045382384,0.033985652,0.04313399,2.0,2.0,5.0,21.0,49.0,0.0,46.0,45.0,25.0,5.0,1.0,3.0,22.0,0.0,48.0,79.0,0.0,35.0,10.0,0.0,7.0,14.0,46.0,0.0,53.0,42.0,0.0,34.0,5.0,1.0,'stand'
1.5135194,-9.821784,-0.29573157,0.07859891,0.0552338,0.08190583,0.06145624,0.044921104,0.062394913,1.0,0.0,8.0,6.0,41.0,73.0,49.0,18.0,3.0,1.0,1.0,2.0,14.0,23.0,53.0,0.0,52.0,37.0,16.0,2.0,12.0,25.0,40.0,77.0,21.0,8.0,12.0,3.0,0.0,2.0,'stand'
1.5512525,-9.811245,-0.29994535,0.07278345,0.0554542,0.082348086,0.057842053,0.045018177,0.06521043,3.0,9.0,12.0,77.0,41.0,30.0,26.0,1.0,0.0,0.0,2.0,8.0,29.0,0.0,41.0,52.0,0.0,38.0,28.0,0.0,12.0,11.0,22.0,36.0,69.0,24.0,15.0,10.0,2.0,2.0,'stand'
2.032199,-9.596537,1.0229943,4.2797403,5.6522083,6.5215344,3.3879104,4.694022,5.0688667,2.0,5.0,17.0,35.0,42.0,45.0,32.0,12.0,8.0,1.0,29.0,14.0,18.0,26.0,27.0,31.0,32.0,13.0,7.0,3.0,9.0,8.0,33.0,37.0,51.0,22.0,18.0,11.0,9.0,3.0,'down'
1.1078453,-9.869664,1.8540697,4.0153904,5.0997005,6.423788,2.9925601,4.097816,5.187641,1.0,2.0,9.0,39.0,73.0,56.0,15.0,3.0,1.0,0.0,22.0,13.0,16.0,19.0,32.0,43.0,26.0,15.0,8.0,6.0,6.0,10.0,18.0,40.0,49.0,24.0,18.0,20.0,10.0,6.0,'down'
0.9655339,-9.923487,1.221809,3.9175076,4.8251104,7.0851517,2.9405851,3.8868256,5.5821815,3.0,0.0,16.0,28.0,60.0,52.0,26.0,9.0,5.0,0.0,20.0,11.0,13.0,28.0,32.0,34.0,34.0,16.0,5.0,8.0,3.0,4.0,15.0,29.0,51.0,35.0,27.0,18.0,14.0,4.0,'down'
1.5640838,-9.874069,1.8197854,3.7568352,4.7507405,6.24367,2.911739,3.8883069,4.9121575,2.0,2.0,3.0,22.0,32.0,56.0,51.0,23.0,6.0,2.0,17.0,11.0,15.0,21.0,28.0,29.0,29.0,29.0,18.0,3.0,4.0,8.0,11.0,33.0,56.0,37.0,24.0,16.0,7.0,5.0,'down'
1.5658077,-9.920805,1.1034397,4.547759,5.0772753,6.4732018,3.3260717,4.1880302,4.9728804,2.0,2.0,1.0,9.0,34.0,53.0,70.0,15.0,10.0,3.0,25.0,16.0,14.0,29.0,33.0,43.0,23.0,14.0,2.0,2.0,5.0,8.0,9.0,45.0,60.0,26.0,23.0,15.0,4.0,5.0,'down'
3.0203335,-9.456904,1.6700029,4.0162473,5.062473,6.8191724,3.0195653,4.0468583,5.2716203,6.0,15.0,33.0,52.0,57.0,21.0,8.0,5.0,1.0,1.0,20.0,12.0,19.0,22.0,44.0,35.0,26.0,17.0,5.0,0.0,6.0,2.0,13.0,39.0,56.0,33.0,18.0,17.0,12.0,5.0,'down'
1.983165,-9.768915,0.9427407,3.679676,5.3755136,6.8993025,2.8861866,4.336603,5.2825384,2.0,10.0,26.0,49.0,57.0,38.0,13.0,3.0,1.0,1.0,25.0,14.0,10.0,23.0,30.0,34.0,29.0,17.0,6.0,12.0,3.0,2.0,13.0,26.0,59.0,39.0,20.0,20.0,10.0,8.0,'down'
0.40567356,-9.474332,1.7810947,4.7723513,7.8452253,6.804968,3.6608262,7.135417,5.2310176,5.0,9.0,28.0,54.0,48.0,24.0,16.0,10.0,2.0,4.0,57.0,13.0,16.0,11.0,11.0,17.0,21.0,29.0,21.0,3.0,4.0,1.0,6.0,23.0,58.0,46.0,25.0,18.0,12.0,8.0,'up'
0.9448476,-9.841698,1.8883551,4.8871474,7.079424,6.2129884,3.5351763,6.167624,4.679695,1.0,9.0,36.0,55.0,57.0,22.0,12.0,2.0,2.0,2.0,46.0,12.0,21.0,18.0,15.0,23.0,15.0,10.0,25.0,16.0,3.0,4.0,6.0,41.0,60.0,38.0,24.0,12.0,5.0,8.0,'up'
0.87532026,-9.35922,1.2543702,4.79656,7.4264345,6.2692194,3.710917,6.537877,4.952039,4.0,14.0,49.0,44.0,49.0,23.0,9.0,5.0,0.0,3.0,45.0,14.0,14.0,21.0,14.0,16.0,23.0,14.0,17.0,20.0,5.0,2.0,6.0,37.0,68.0,30.0,25.0,17.0,9.0,3.0,'up'
0.564457,-9.924061,1.784734,4.5097013,7.251781,5.8138037,3.2607772,6.3860803,4.481573,2.0,4.0,17.0,49.0,72.0,36.0,10.0,5.0,3.0,1.0,49.0,15.0,16.0,15.0,19.0,16.0,13.0,24.0,16.0,18.0,2.0,3.0,17.0,49.0,59.0,31.0,20.0,9.0,5.0,5.0,'up'
1.7132905,-9.547886,1.597795,4.4732814,7.446035,5.6713696,3.440449,6.5314655,4.533972,9.0,22.0,43.0,61.0,29.0,19.0,10.0,4.0,2.0,1.0,51.0,9.0,22.0,11.0,21.0,25.0,17.0,18.0,18.0,7.0,8.0,13.0,45.0,42.0,36.0,26.0,15.0,9.0,5.0,2.0,'up'
0.66520506,-9.373392,1.4845966,4.8484287,7.832252,6.573615,3.692144,6.9946613,5.2015877,10.0,15.0,47.0,59.0,32.0,16.0,11.0,4.0,4.0,1.0,56.0,10.0,19.0,12.0,17.0,21.0,22.0,25.0,13.0,5.0,3.0,1.0,9.0,33.0,72.0,24.0,23.0,18.0,11.0,7.0,'up'
0.66175735,-9.358264,1.5445477,5.0055737,7.5471063,5.943494,3.859022,6.733025,4.7791333,3.0,12.0,31.0,50.0,52.0,30.0,12.0,3.0,5.0,2.0,48.0,20.0,23.0,10.0,24.0,30.0,32.0,6.0,6.0,1.0,1.0,2.0,5.0,44.0,50.0,34.0,35.0,14.0,12.0,3.0,'up'
